codgeo,x,y,libgeo
01173,934227.903,6587541.752,Gex
01174,914289.787,6573039.603,Giron
01175,849821.748,6592360.297,Gorrevod
01177,887615.056,6570438.774,Grand-Corent
01179,842210.74,6575405.957,Grièges
01180,939444.678,6586057.358,Grilly
01181,901331.036,6572927.158,Groissiat
01183,837701.868,6557876.048,Guéreins
01184,887449.976,6565316.37,Hautecourt-Romanèche
01185,900131.287,6541073.655,Plateau d'Hauteville
01187,907770.993,6553280.31,Haut Valromey
01188,845625.733,6566890.181,Illiat
01189,913324.427,6553740.33,Injoux-Génissiat
01190,899971.353,6524631.679,Innimond
01191,895213.735,6551806.231,Izenave
01192,897555.042,6571931.983,Izernore
01193,905527.938,6509674.111,Izieu
01194,836210.37,6543597.264,Jassans-Riottier
01195,878191.797,6570908.179,Jasseron
01196,862513.339,6587240.765,Jayat
01197,880125.878,6563450.256,Journans
01198,862880.054,6541138.1,Joyeux
01199,886354.685,6552892.653,Jujurieux
01200,892606.543,6557872.851,Labalme
01202,880590.35,6535088.534,Lagnieu
01203,846294.995,6573681.385,Laiz
01204,908008.554,6564147.487,Le Poizat-Lalleyriat
01206,896402.456,6553682.168,Lantenay
01207,853399.051,6544817.484,Lapeyrouse
01208,915248.647,6527313.62,Lavours
01209,922144.942,6560559.049,Léaz
01210,925441.327,6580342.334,Lélex
01211,870017.037,6559789.22,Lent
01212,865188.737,6592369.697,Lescheroux
01213,877802.59,6538980.865,Leyment
01214,891068.587,6565487.98,Leyssard
01215,915218.739,6551325.308,Surjoux-Lhopital
01216,897169.157,6519282.426,Lhuis
01219,895878.314,6526583.279,Lompnas
01224,872255.815,6523804.456,Loyettes
01225,837651.327,6552872.292,Lurcy
01227,911551.913,6523522.623,Magnieu
01228,895249.622,6560955.594,Maillat
01229,864827.32,6583290.333,Malafretaz
01230,861764.038,6594369.96,Mantenay-Montlin
01231,846265.164,6586693.814,Manziat
01232,872542.889,6585155.67,Marboz
01233,898184.25,6522627.082,Marchamp
